"id","name"
444,ممسنی
445,سخواف
446,توسعه
447,آینده
448,خراسان
449,خفولا
450,ثنظام
451,دهدشت
452,لخانه
453,غیوان
454,وایرا
455,تپولا
456,فسدید
457,دقاضی
458,فبیرا
459,فسپا
460,وبرق
461,وثخوز
462,گپارس
463,سفاسی
464,وامید
465,زاگرس
466,غمینو
467,سکردح
468,کیسونح
469,ثنورح
470,وحافظ
471,ثاصفا
472,کابگن
473,ثالوند
474,ثاختح
475,وتعاون
476,فلات
477,شفارس
478,فنرژی
479,انرژی3
480,آرمان
481,سکرما
482,وسدید
483,سخوز
484,خاذینح
485,قلرست
486,ومشان
487,آ س پ
488,واتیح
489,دیران
490,فنورد
491,واعتبار
492,ساروم
493,دفارا
494,قنقش
495,گوهران
496,کوثر
497,پاکشو
498,وتوصا
499,حسینا
500,شخارک
501,شزنگ
502,دماوند
503,شاخص کل6
504,فرآور
505,سیدکو
506,وسبحان
507,افق
508,شوینده
509,دبالک
510,دی
511,دحاوی
512,زشگزا
513,خشرقح
514,شرنگی
515,شلردح
516,قهکمت
517,ونیکی
518,وارس
519,تشتاد
520,ونیروح
521,ارفعح
522,واحیا
523,غگل
524,زقیام
525,کاسپین
526,وپخش
527,کی بی سی
528,حرهشا
529,شسم
530,غشهدح
531,قشرین
532,کباده
533,غگرجی
534,کایتا
535,کصدف
536,سپاهاح
537,فوکا
538,شکبیر
539,کساپاح
540,خپارسح
541,حکمت
542,آکنتور
543,سایرا
544,وسرمدح
545,کبورس
546,سغرب
547,وسپهح
548,کرازیح
549,شفارا
550,شاراکح
551,غگلح
552,وصنعتح
553,وسکاب
554,تاپیکوح
555,فملیح
556,رکیشح
557,غسالم
558,کچادح
559,اتکام
560,مبین
561,کتوکاح
562,اعتلاح
563,سمگاح
564,وکوثر
565,غپاکح
566,دتماد
567,شپارسح
568,بپاس
569,کچینی
570,فافزا
571,جهرمح
572,فساح
573,دشیری
574,سبجنو
575,دارو
576,سکارون
577,وملی
578,بسویچ
579,پارسیانح
580,اخابرح
581,سکه9712-01
582,شاملا
583,ورناح
