"id","title","is_succeeded","start_date","close_date","expected_return","expected_risk","expert_id","symbol_id","should_buy","profit"
9480,"",0,"2017-08-07","2017-10-08",34.33,-7.01,39,76,0,-7.01
9862,"",1,"2018-06-18","2018-08-07",35.95,-25.44,41,76,0,35.95
9863,"",1,"2018-06-18","2018-08-07",35.95,-25.22,41,76,0,35.95
9864,"",1,"2018-06-18","2018-08-07",35.94,-25.23,41,76,0,35.94
9951,"",1,"2018-05-05","2018-08-07",40.16,-24.07,41,76,0,40.16
9952,"",1,"2018-05-05","2018-08-07",40.16,-24.07,41,76,0,40.16
9988,"",1,"2018-05-01","2018-08-07",38.21,-22.41,41,76,0,38.21
10091,"",1,"2018-04-21","2018-08-06",38.52,-23.48,41,76,0,38.52
10092,"",1,"2018-04-21","2018-08-06",38.52,-23.48,41,76,0,38.52
10543,"",1,"2018-01-20","2018-08-16",52.11,-30.99,41,76,0,52.11
10581,"",1,"2018-01-08","2018-09-01",77.05,-30.99,41,76,0,45.16
10747,"",1,"2017-11-08","2018-08-16",65.89,-26.83,41,76,0,65.89
10792,"",1,"2017-10-21","2018-08-08",52.83,-24.09,41,76,0,52.83
10822,"",1,"2017-10-10","2017-12-31",51.18,-18.73,41,76,0,13.51
10848,"",1,"2017-10-02","2018-09-01",57.49,-17.99,41,76,0,58.83
10891,"",1,"2017-09-17","2018-08-25",86.21,-25.81,41,76,0,86.21
10914,"",1,"2017-09-09","2018-08-16",72.86,-23.73,41,76,0,72.86
10938,"",1,"2017-09-02","2018-08-31",100.94,-23.33,41,76,0,70.34
10969,"",1,"2017-08-20","2018-08-25",81.45,-20.72,41,76,0,81.45
11013,"",1,"2017-08-06","2018-08-31",107.0,-23.85,41,76,0,65.86
11119,"",1,"2017-07-01","2017-11-21",17.43,-7.73,41,76,0,22.5
11213,"",1,"2017-05-19","2017-11-22",16.09,-5.19,41,76,0,14.58
11329,"",1,"2017-04-10","2017-11-27",25.76,-5.93,41,76,0,17.1
11817,"",1,"2017-10-31","2017-11-21",44.92,-28.8,44,76,0,16.89
12367,"",1,"2017-10-28","2017-11-25",56.03,-30.33,50,76,0,24.6
12844,"",1,"2018-06-18","2018-08-07",35.8,-24.34,55,76,0,35.8
12845,"",1,"2018-06-18","2018-08-07",35.87,-23.98,55,76,0,35.87
12846,"",1,"2018-06-18","2018-08-07",35.87,-23.98,55,76,0,35.87
12979,"",1,"2018-05-01","2018-08-07",38.61,-26.53,55,76,0,38.61
12980,"",1,"2018-05-01","2018-08-07",38.61,-26.53,55,76,0,38.61
13078,"",1,"2018-04-22","2018-08-06",39.7,-23.86,55,76,0,39.7
13079,"",1,"2018-04-22","2018-08-06",39.76,-23.86,55,76,0,39.76
13514,"",1,"2018-01-21","2018-08-21",67.97,-30.99,55,76,0,67.97
13547,"",1,"2018-01-08","2018-09-01",77.69,-30.99,55,76,0,46.26
13716,"",1,"2017-11-11","2018-08-16",65.93,-25.81,55,76,0,65.93
13743,"",1,"2017-10-28","2018-08-06",44.64,-22.27,55,76,0,44.64
13766,"",1,"2017-10-18","2018-08-08",53.43,-23.79,55,76,0,53.43
13792,"",1,"2017-10-10","2018-08-02",47.07,-18.74,55,76,0,47.07
13833,"",1,"2017-09-18","2018-08-21",86.38,-24.52,55,76,0,86.38
13854,"",1,"2017-09-10","2018-08-21",86.59,-22.84,55,76,0,86.59
13867,"",1,"2017-09-02","2018-08-21",90.35,-22.9,55,76,0,90.35
13886,"",1,"2017-08-22","2018-08-21",80.83,-21.45,55,76,0,80.83
13917,"",1,"2017-08-07","2018-08-25",85.56,-26.37,55,76,0,85.56
13995,"",1,"2017-07-01","2017-11-21",17.43,-7.73,55,76,0,22.5
14080,"",1,"2017-05-16","2017-11-22",16.85,-4.57,55,76,0,14.56
14175,"",1,"2017-04-11","2017-11-22",13.32,-4.55,55,76,0,15.35
14313,"",1,"2017-05-03","2019-05-25",17.82,-5.29,59,76,0,93.14
14340,"",1,"2017-04-05","2017-04-29",17.61,-9.07,59,76,0,18.21
14942,"",1,"2017-09-16","2019-05-25",17.65,-15.94,75,76,0,101.14
15523,"",1,"2017-09-05","2017-11-28",20.66,-10.7,91,76,0,10.77
15548,"",1,"2017-05-02","2018-08-09",28.02,-7.46,91,76,0,43.44
15559,"",1,"2017-04-19","2017-04-27",36.34,-16.48,91,76,0,8.79
15776,"",1,"2017-08-16","2018-12-02",48.83,-31.0,100,76,0,46.22
15846,"",1,"2016-07-23","2016-07-25",6.27,-31.0,100,76,0,1.91
16255,"",0,"2017-08-22","2017-10-08",14.88,-5.56,117,76,0,-5.56
16351,"",1,"2016-09-06","2016-10-18",25.96,-6.88,117,76,0,25.96
16464,"",1,"2018-02-28","2018-06-25",8.52,-31.0,124,76,0,8.52
